                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.91833,                 1.5275,                 1.1322,                0.88018,                 0.8574,                0.86029,                0.72826,                 0.5196,                 2.2806,                0.92174,             0.00038341,             0.00038341,             0.00038341
                      2,                0.90535,                 1.0322,                 1.0925,                0.02528,                0.39338,                0.01932,                0.01555,                0.91897,                 22.472,                 1.6561,             0.00076798,             0.00076798,             0.00076798
                      3,                0.90736,                 1.0307,                 1.1211,                0.05207,                0.77451,                0.05442,                0.04637,                0.66844,                 23.902,                 1.2877,              0.0011367,              0.0011367,              0.0011367
                      4,                0.92031,                 1.0378,                 1.1228,                0.00999,                0.38235,                0.01246,                0.00987,                 0.8767,                 28.422,                 1.3394,              0.0014896,              0.0014896,              0.0014896
                      5,                0.96802,                 1.0561,                 1.1539,                0.01417,                0.36275,                0.01357,                0.01003,                 1.1585,                  15.17,                 1.2298,               0.001535,               0.001535,               0.001535
                      6,                0.94574,                 1.0496,                 1.1543,                 0.8676,                0.42937,                0.51693,                0.38859,                0.90814,                 2.9176,                  1.075,               0.001535,               0.001535,               0.001535
                      7,                0.92003,                 1.0182,                   1.14,                0.80564,                0.87868,                0.81243,                 0.7196,                0.57545,                 1.0354,                0.92776,               0.001502,               0.001502,               0.001502
                      8,                0.88247,                0.91676,                 1.0965,                0.70459,                0.78594,                0.73315,                0.66362,                 0.5236,                 1.5582,                0.89593,               0.001469,               0.001469,               0.001469
                      9,                0.84238,                 0.8893,                 1.0844,                0.89299,                0.89937,                0.85746,                 0.7838,                0.56756,                0.69126,                0.87999,               0.001436,               0.001436,               0.001436
                     10,                0.86212,                0.87863,                 1.1006,                0.89776,                0.89951,                0.86172,                0.76286,                0.59262,                 0.5988,                0.89462,              0.0014029,              0.0014029,              0.0014029
                     11,                0.81009,                0.88285,                 1.0816,                0.89414,                0.87584,                0.84328,                0.77641,                0.44863,                0.65678,                 0.8595,              0.0013699,              0.0013699,              0.0013699
                     12,                0.83533,                0.92008,                 1.0938,                0.89514,                0.89951,                0.85811,                0.79464,                0.50611,                0.63815,                0.89229,              0.0013369,              0.0013369,              0.0013369
                     13,                0.82637,                0.83221,                 1.0738,                0.89739,                0.89951,                0.85414,                0.78681,                0.46055,                0.53741,                0.87723,              0.0013039,              0.0013039,              0.0013039
                     14,                0.77737,                0.80279,                 1.0683,                0.89502,                0.87868,                0.82939,                0.78763,                 0.4261,                0.59248,                 0.8619,              0.0012709,              0.0012709,              0.0012709
                     15,                0.79584,                0.87269,                 1.0855,                0.86606,                0.87739,                0.83471,                0.77908,                0.49611,                0.66963,                0.88881,              0.0012379,              0.0012379,              0.0012379
                     16,                 0.7899,                0.83988,                 1.0718,                0.89136,                0.89951,                 0.8516,                0.80026,                0.45806,                0.58355,                0.85835,              0.0012049,              0.0012049,              0.0012049
                     17,                0.75724,                0.79392,                 1.0497,                0.88927,                0.84967,                0.82555,                 0.7663,                0.42611,                0.56233,                0.85861,              0.0011719,              0.0011719,              0.0011719
                     18,                0.75198,                0.78721,                 1.0401,                0.87907,                0.87868,                0.83008,                 0.7882,                0.40875,                 0.5341,                0.85612,              0.0011389,              0.0011389,              0.0011389
                     19,                0.76811,                0.77654,                 1.0581,                0.86926,                0.87868,                 0.8551,                0.79897,                0.46407,                0.52779,                0.85274,              0.0011059,              0.0011059,              0.0011059
                     20,                0.72355,                0.70447,                 1.0208,                0.89256,                0.89951,                0.84677,                0.79996,                0.40647,                0.48934,                0.86045,              0.0010729,              0.0010729,              0.0010729
                     21,                0.74212,                0.75609,                 1.0605,                0.89788,                0.89951,                0.84444,                0.80715,                0.40338,                0.49916,                0.85739,              0.0010399,              0.0010399,              0.0010399
                     22,                0.72432,                0.73197,                  1.026,                0.89015,                0.89903,                0.83744,                0.77429,                0.44915,                0.51647,                 0.8667,              0.0010069,              0.0010069,              0.0010069
                     23,                0.71314,                0.70567,                  1.036,                0.88765,                0.89951,                0.84253,                0.75378,                0.51683,                 0.5139,                0.86868,             0.00097386,             0.00097386,             0.00097386
                     24,                0.70501,                0.71328,                 1.0239,                0.85731,                0.89684,                0.83652,                0.77622,                0.46662,                0.48383,                0.85299,             0.00094085,             0.00094085,             0.00094085
                     25,                0.71608,                0.69604,                 1.0347,                0.89813,                 0.8845,                 0.8513,                0.79165,                0.45091,                0.56007,                0.85784,             0.00090785,             0.00090785,             0.00090785
                     26,                0.70028,                0.65788,                 1.0313,                0.89842,                0.88758,                0.87259,                0.81052,                0.47395,                0.48096,                 0.8792,             0.00087484,             0.00087484,             0.00087484
                     27,                0.71131,                0.72242,                 1.0451,                 0.8798,                0.89703,                0.86359,                0.83243,                0.38543,                0.44619,                0.84572,             0.00084184,             0.00084184,             0.00084184
                     28,                0.67859,                0.64532,                 1.0201,                0.87834,                0.89738,                0.86255,                0.79608,                0.48252,                0.49104,                0.87279,             0.00080883,             0.00080883,             0.00080883
                     29,                0.68153,                 0.6316,                 1.0017,                0.89229,                0.89951,                0.88366,                0.83603,                0.44241,                0.44928,                0.85984,             0.00077582,             0.00077582,             0.00077582
                     30,                0.68544,                0.63564,                  1.021,                0.89377,                0.89919,                0.87805,                0.82004,                0.47212,                0.46531,                0.87741,             0.00074282,             0.00074282,             0.00074282
